Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bourse,48.8687,2.3412,Place des Victoires,48.865759373109775,2.341219220887502,Plaza
Bourse,48.8687,2.3412,Le Moulin de la Vierge,48.86620190566684,2.3411547392606735,Bakery
Bourse,48.8687,2.3412,Workshop Issé,48.8688947285211,2.33706581214639,Gourmet Shop
Bourse,48.8687,2.3412,Neoness Bourse Opéra,48.86813327560624,2.341021075808298,Gym
Bourse,48.8687,2.3412,Dynamo Cycling,48.86887066811056,2.3365812036147395,Cycle Studio
Bourse,48.8687,2.3412,Hôtel des Grands Boulevards,48.870800399082455,2.3448864108663963,Hotel
Bourse,48.8687,2.3412,ZenZoo,48.86777056872764,2.3370200016733134,Taiwanese Restaurant
Bourse,48.8687,2.3412,Willi's Wine Bar,48.866311115770245,2.3383002959921697,Wine Bar
Bourse,48.8687,2.3412,Hôtel La Maison Favart,48.87080002201078,2.337290346622467,Hotel
Bourse,48.8687,2.3412,La Crème de Paris,48.871721,2.34331,Creperie
Bourse,48.8687,2.3412,Opéra Comique,48.870981386347395,2.337786555290222,Concert Hall
Bourse,48.8687,2.3412,Verjus Bar à Vins,48.86630556463485,2.3374713957309723,Wine Bar
Bourse,48.8687,2.3412,Max Linder Panorama,48.87138398457992,2.344808578491211,Indie Movie Theater
Bourse,48.8687,2.3412,Les Fines Gueules,48.865171886388225,2.340644784271717,French Restaurant
Bourse,48.8687,2.3412,ZenZoo – Bar à Thé,48.867020860798846,2.336737853474915,Bubble Tea Shop
Bourse,48.8687,2.3412,Hard Rock Cafe,48.871944249247825,2.3416044567071594,American Restaurant
Bourse,48.8687,2.3412,Nose,48.866242,2.344885,Perfume Shop
Bourse,48.8687,2.3412,Matamata,48.866044,2.343956,Coffee Shop
Bourse,48.8687,2.3412,Verjus,48.86639803045864,2.3373547196388245,French Restaurant
Bourse,48.8687,2.3412,Le Grand Véfour,48.86613492,2.33793892,French Restaurant
Bourse,48.8687,2.3412,Théâtre du Palais-Royal,48.86600524368278,2.3376850883287545,Theater
Bourse,48.8687,2.3412,Mersea,48.871975572746514,2.3431841769993706,Fish & Chips Shop
Bourse,48.8687,2.3412,Omusubi Gonbei,48.866607111762995,2.337256819009781,Japanese Restaurant
Bourse,48.8687,2.3412,Bistrot Victoires,48.86552339307843,2.3403647694601255,Bistro
Bourse,48.8687,2.3412,Aki Café,48.868730469871814,2.3365829467133916,Café
Bourse,48.8687,2.3412,Blend Argout,48.865958165150715,2.343484093370061,Burger Joint
Bourse,48.8687,2.3412,The Hoxton Paris,48.8701794,2.3466316,Hotel
Bourse,48.8687,2.3412,Le Comptoir des Petits Champs,48.86629233761211,2.337873826187643,French Restaurant
Bourse,48.8687,2.3412,Mabel,48.8675440546188,2.3461500391476022,Cocktail Bar
Bourse,48.8687,2.3412,Bottles,48.867864130283216,2.3362675512704465,Wine Bar
Bourse,48.8687,2.3412,"L’Entente, Le British Brasserie",48.869037,2.335486,English Restaurant
Bourse,48.8687,2.3412,Lockwood,48.86772674428229,2.3469454610004647,Cocktail Bar
Bourse,48.8687,2.3412,Maison Kitsuné,48.866372,2.337087,Clothing Store
Bourse,48.8687,2.3412,Le Salon du Fromage Hisada,48.86624879517917,2.3371863375908837,Cheese Shop
Bourse,48.8687,2.3412,BookOff,48.868945752843096,2.3354623240650625,Bookstore
Bourse,48.8687,2.3412,Hoppy Corner,48.86772619731469,2.3473745971313704,Beer Bar
Bourse,48.8687,2.3412,Udon Bistro Kunitoraya (Kunitoraya),48.865884035205355,2.336782068014145,Udon Restaurant
Bourse,48.8687,2.3412,Rivié,48.87020064681438,2.3464849501827985,Hotel Bar
Bourse,48.8687,2.3412,Chez Philibert,48.868918013407566,2.345776129753177,Salad Place
Bourse,48.8687,2.3412,Restaurant Kunitoraya,48.86611572520175,2.3364669084548946,Japanese Restaurant
Bourse,48.8687,2.3412,Ellsworth,48.865527916411786,2.337056774451994,French Restaurant
Bourse,48.8687,2.3412,Restaurant du Palais Royal,48.86574578621022,2.338547512884462,French Restaurant
Bourse,48.8687,2.3412,La Tête dans les Nuages,48.871881819516894,2.339288154982073,Arcade
Bourse,48.8687,2.3412,Bouillon Chartier,48.871861,2.342989,Bistro
Bourse,48.8687,2.3412,La Cevicheria,48.86619159489603,2.3454737663269043,Peruvian Restaurant
Bourse,48.8687,2.3412,Jardin du Palais Royal,48.86494061245833,2.3377275466918945,Garden
Bourse,48.8687,2.3412,Hokkaido,48.8676768220048,2.3369297956213724,Ramen Restaurant
Bourse,48.8687,2.3412,Chipotle Mexican Grill,48.87209,2.34042,Mexican Restaurant
Bourse,48.8687,2.3412,Café Kitsuné,48.86543988887562,2.3375840216232477,Café
Bourse,48.8687,2.3412,Filakia,48.86564638918743,2.3456186056137085,Souvlaki Shop
Bourse,48.8687,2.3412,Hôtel Le 34B ***,48.87273052292771,2.343604912009892,Hotel
Bourse,48.8687,2.3412,La Boissonnière,48.869418597019404,2.3476892709732056,Bar
Bourse,48.8687,2.3412,Hôtel Bachaumont,48.86617629790189,2.3449255329280247,Hotel
Bourse,48.8687,2.3412,& Other Stories,48.8652293767804,2.3447490519036633,Women's Store
Bourse,48.8687,2.3412,Télescope,48.86614042697531,2.3363059759140015,Coffee Shop
Bourse,48.8687,2.3412,Boneshaker Doughnuts,48.86785725724388,2.347340691499821,Donut Shop
Bourse,48.8687,2.3412,Kotteri Ramen Naritake,48.866799730578926,2.336797559615794,Ramen Restaurant
Bourse,48.8687,2.3412,Rick Owens,48.865193447990556,2.338485269139365,Boutique
Bourse,48.8687,2.3412,La Boulangerie du Nil,48.86772200463062,2.347654348090177,Bakery
Bourse,48.8687,2.3412,Juveniles,48.86621687123557,2.337148998297595,Wine Bar
Bourse,48.8687,2.3412,Le Louis,48.864330749172225,2.341332062576144,French Restaurant
Bourse,48.8687,2.3412,Au Loup,48.872509641080484,2.3446254156091966,Wine Bar
Bourse,48.8687,2.3412,Jacques’ Bar,48.87014223572917,2.346597822090189,Cocktail Bar
Bourse,48.8687,2.3412,JanTchi,48.86600128752999,2.335976674778051,Korean Restaurant
Bourse,48.8687,2.3412,Hôtel des Ventes Drouot,48.87306094102725,2.340101103627914,Antique Shop
Bourse,48.8687,2.3412,Tigermilk,48.868234,2.347351,Mexican Restaurant
Bourse,48.8687,2.3412,LECLAIREUR Hérold,48.86483172222586,2.3415299473017144,Clothing Store
Bourse,48.8687,2.3412,Hakata Choten,48.867125,2.334818,Japanese Restaurant
Bourse,48.8687,2.3412,Le Pot de Vins,48.86432169778438,2.3401925360185167,Restaurant
Bourse,48.8687,2.3412,Lémoni,48.86479526144143,2.3412924967853854,Salad Place
Bourse,48.8687,2.3412,Olio Pane Vino,48.86466930258046,2.3406910643425047,Italian Restaurant
Bourse,48.8687,2.3412,Frenchie to Go,48.86769308541349,2.347740232944488,Sandwich Place
